Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,Lib,SNP,Grn,Ref,Others,Lead,date_year_appended,end_date
5–6 Apr,Omnisis,,UK,1328,26%,46%,10%,3%,5%,7%,2% Plaid Cymru on 1% Other on 1%,20,5–6 Apr 2023,2023-04-06
5–6 Apr,Opinium,The Observer,GB,2081,30%,41%,10%,3%,5%,7%,4% Plaid Cymru on 1% Other on 3%,11,5–6 Apr 2023,2023-04-06
5–6 Apr,Techne,,UK,1629,30%,45%,9%,3%,5%,5%,2%,15,5–6 Apr 2023,2023-04-06
5–6 Apr,YouGov,The Times,GB,2042,27%,44%,9%,4%,7%,6%,3% Plaid Cymru on 1% Other on 2%,17,5–6 Apr 2023,2023-04-06
31 Mar – 3 Apr,Deltapoll,,GB,1587,27%,48%,9%,4%,4%,5%,4% Plaid Cymru on 1% UKIP on 2% Other on 1%,21,31 Mar – 3 Apr 2023,2023-04-03
2 Apr,Redfield & Wilton,,GB,2000,28%,45%,12%,4%,4%,5%,2%,17,2 Apr 2023,2023-04-02
31 Mar – 2 Apr,Savanta,,UK,2149,29%,45%,10%,3%,3%,5%,5% Plaid Cymru on 1% Other on 4%,16,31 Mar – 2 Apr 2023,2023-04-02
29 Mar – 2 Apr,Survation,,UK,1009,29%,46%,8%,4%,3%,5%,6% Plaid Cymru on 1% UKIP on 0% Reclaim Party on 0% Alba Party on 0% Other on 4%,17,29 Mar – 2 Apr 2023,2023-04-02
29–31 Mar,Opinium,The Observer,GB,2050,29%,44%,9%,3%,5%,7%,3% Plaid Cymru on 1% Other on 2%,15,29–31 Mar 2023,2023-03-31
29–30 Mar,YouGov,The Times,GB,2002,26%,46%,9%,3%,7%,7%,2% Plaid Cymru on 1% Other on 1%,20,29–30 Mar 2023,2023-03-30
29–30 Mar,Techne,,UK,1633,30%,46%,9%,3%,4%,5%,3%,16,29–30 Mar 2023,2023-03-30
29 Mar,PeoplePolling,GB News,GB,1209,24%,42%,9%,5%,7%,8%,6% Plaid Cymru on 1% Other on 5%,18,29 Mar 2023,2023-03-29
28–29 Mar,Omnisis Archived 21 April 2023 at the Wayback Machine,,GB,1344,27%,50%,9%,3%,4%,6%,2% Plaid Cymru on 1% Other on 1%,23,28–29 Mar 2023,2023-03-29
27–29 Mar,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,27–29 Mar 2023,2023-03-29
22–29 Mar,Ipsos,Evening Standard,UK,1004,26%,49%,11%,5%,6%,2%,1% UKIP on 1% Plaid Cymru on 0% Other on 0%,23,22–29 Mar 2023,2023-03-29
24–27 Mar,Deltapoll,,GB,1569,30%,45%,10%,4%,4%,4%,4% UKIP on 2% Plaid Cymru on 1% Other on 1%,15,24–27 Mar 2023,2023-03-27
26 Mar,Redfield & Wilton,,GB,2000,27%,46%,10%,3%,4%,8%,2%,19,26 Mar 2023,2023-03-26
24–26 Mar,Savanta,,UK,2097,29%,45%,9%,4%,3%,4%,5% Plaid Cymru on 1% Other on 4%,16,24–26 Mar 2023,2023-03-26
23–24 Mar,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1382,29%,44%,10%,3%,5%,6%,2% Plaid Cymru on 0% Other on 0% Independent on 2%,15,23–24 Mar 2023,2023-03-24
23–24 Mar,Survation,,UK,831,31%,45%,8%,4%,3%,4%,5% UKIP on 1% Plaid Cymru on 1% Alba Party on 1% Reclaim Party on 0% Other on 3%,14,23–24 Mar 2023,2023-03-24
22–23 Mar,Techne,,UK,1624,31%,46%,8%,4%,4%,5%,2%,15,22–23 Mar 2023,2023-03-23
22 Mar,PeoplePolling,GB News,UK,1175,22%,43%,10%,4%,8%,9%,5% Plaid Cymru on 2% Other on 3%,21,22 Mar 2023,2023-03-22
21–22 Mar,YouGov,The Times,GB,2026,23%,49%,10%,3%,6%,6%,3% Plaid Cymru on 1% Other on 2%,26,21–22 Mar 2023,2023-03-22
17–20 Mar,Survation,,UK,812,31%,46%,8%,4%,2%,4%,5% Plaid Cymru on 1% UKIP on 1% Reclaim Party on 0% Alba Party on 0% Other on 3%,15,17–20 Mar 2023,2023-03-20
17–20 Mar,Deltapoll,,GB,1054,35%,45%,7%,4%,4%,3%,2% UKIP on 1% Plaid Cymru on 0% Other on 1%,10,17–20 Mar 2023,2023-03-20
19 Mar,Redfield & Wilton,,GB,2000,26%,47%,11%,4%,6%,5%,2%,21,19 Mar 2023,2023-03-19
17–19 Mar,Savanta,,UK,2175,31%,45%,9%,3%,3%,4%,5% Plaid Cymru on 1% Other on 4%,14,17–19 Mar 2023,2023-03-19
16–17 Mar,PeoplePolling,GB News,UK,1289,20%,45%,9%,5%,13%,6%,3% Plaid Cymru on 1% Other on 2%,25,16–17 Mar 2023,2023-03-17
15–17 Mar,Opinium,The Observer,GB,2000,29%,44%,8%,3%,6%,7%,3% Plaid Cymru on 1% Other on 2%,15,15–17 Mar 2023,2023-03-17
15–16 Mar,YouGov,The Times,GB,2155,27%,46%,9%,4%,6%,6%,2% Plaid Cymru on 1% Other on 1%,19,15–16 Mar 2023,2023-03-16
15–16 Mar,BMG,,GB,1546,29%,46%,8%,4%,4%,6%,3% Plaid Cymru on 1% Other on 2%,17,15–16 Mar 2023,2023-03-16
15–16 Mar,Techne,,UK,1632,30%,47%,8%,3%,4%,5%,2%,17,15–16 Mar 2023,2023-03-16
15 Mar,Omnisis,,UK,1126,25%,46%,6%,3%,7%,9%,3% Plaid Cymru on 0% Other on 1% Independent on 2%,21,15 Mar 2023,2023-03-15
13–15 Mar,Survation,,UK,1011,32%,48%,8%,3%,2%,3%,5% UKIP on 1% Plaid Cymru on 0% Reclaim Party on 0% Alba Party on 0% Other on 2%,16,13–15 Mar 2023,2023-03-15
10–13 Mar,Deltapoll,,GB,1561,27%,50%,9%,3%,4%,4%,3% Plaid Cymru on 1% Other on 2%,23,10–13 Mar 2023,2023-03-13
12 Mar,Redfield & Wilton,,GB,2000,27%,48%,11%,3%,5%,6%,1%,21,12 Mar 2023,2023-03-12
10–12 Mar,Savanta,,UK,2093,30%,45%,9%,3%,3%,5%,5% Plaid Cymru on 1% Other on 4%,15,10–12 Mar 2023,2023-03-12
8–10 Mar,Opinium,,GB,2000,29%,44%,8%,3%,5%,8%,4% Plaid Cymru on 1% Other on 3%,15,8–10 Mar 2023,2023-03-10
8–9 Mar,Omnisis Archived 21 April 2023 at the Wayback Machine,,GB,1323,26%,50%,7%,4%,5%,6%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,24,8–9 Mar 2023,2023-03-09
8–9 Mar,Techne,,UK,1624,29%,46%,9%,3%,5%,6%,2%,17,8–9 Mar 2023,2023-03-09
8 Mar,PeoplePolling,GB News,UK,1158,23%,42%,8%,4%,10%,7%,6% Plaid Cymru on 1% Other on 5%,19,8 Mar 2023,2023-03-08
7–8 Mar,YouGov,The Times,GB,2049,23%,45%,10%,4%,7%,7%,3% Plaid Cymru on 1% Other on 2%,22,7–8 Mar 2023,2023-03-08
2–6 Mar,Deltapoll[permanent dead link‍],,GB,1630,31%,47%,8%,4%,5%,4%,1% UKIP on 1%,16,2–6 Mar 2023,2023-03-06
5 Mar,Redfield & Wilton,,GB,2000,24%,50%,9%,3%,5%,7%,1%,26,5 Mar 2023,2023-03-05
3–5 Mar,Savanta,,UK,2138,32%,43%,9%,4%,3%,5%,5% Plaid Cymru on 1% Other on 4%,11,3–5 Mar 2023,2023-03-05
2–3 Mar,Survation,,UK,870,29%,45%,10%,3%,3%,4%,6% UKIP on 1% Plaid Cymru on 1% Reclaim Party on 0% Alba Party on 0% Other on 4%,16,2–3 Mar 2023,2023-03-03
1–3 Mar,FindOutNow/Electoral Calculus,Daily Telegraph,GB,1487,25%,48%,9%,4%,6%,5%,2% Plaid Cymru on 1% Other on 1%,23,1–3 Mar 2023,2023-03-03
1–3 Mar,Opinium,Headlands Consultancy,GB,3000,30%,42%,9%,3%,6%,8%,4% Plaid Cymru on 1% Other on 3%,12,1–3 Mar 2023,2023-03-03
1–3 Mar,Opinium,The Observer,GB,1419,27%,44%,7%,3%,7%,8%,3% Plaid Cymru on 0% Other on 3%,17,1–3 Mar 2023,2023-03-03
2–3 Mar,Omnisis,,GB,1284,26%,45%,11%,4%,6%,6%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,19,2–3 Mar 2023,2023-03-03
1–2 Mar,Techne,,UK,1625,29%,47%,8%,3%,5%,6%,2%,18,1–2 Mar 2023,2023-03-02
1 Mar,PeoplePolling,GB News,UK,1158,24%,45%,9%,5%,8%,7%,4% Plaid Cymru on 1% Other on 3%,21,1 Mar 2023,2023-03-01
28 Feb – 1 Mar,YouGov,The Times,GB,2073,25%,47%,10%,4%,5%,6%,3% Plaid Cymru on 1% Other on 2%,22,28 Feb – 1 Mar 2023,2023-03-01
22 Feb – 1 Mar,Ipsos,Evening Standard,UK,1004,25%,51%,9%,5%,5%,3%,1% Plaid Cymru on 1% UKIP on 0% BNP on 0% Other on 0%,26,22 Feb – 1 Mar 2023,2023-03-01
24–27 Feb,Deltapoll,,GB,1060,31%,46%,8%,3%,4%,5%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,15,24–27 Feb 2023,2023-02-27
26 Feb,Redfield & Wilton,,GB,2000,24%,51%,9%,3%,5%,7%,1%,27,26 Feb 2023,2023-02-26
24–26 Feb,Savanta,,UK,2224,29%,44%,9%,4%,3%,6%,5% Plaid Cymru on 1% Other on 4%,15,24–26 Feb 2023,2023-02-26
22–23 Feb,Omnisis,,GB,1248,24%,48%,10%,4%,5%,8%,1% Plaid Cymru on 0% Other on 1%,24,22–23 Feb 2023,2023-02-23
22–23 Feb,Techne,,UK,1633,27%,49%,8%,3%,5%,5%,3%,22,22–23 Feb 2023,2023-02-23
21–23 Feb,BMG,,GB,1500,29%,46%,9%,4%,4%,6%,2% Plaid Cymru on 1% Other on 1%,17,21–23 Feb 2023,2023-02-23
22 Feb,PeoplePolling,GB News,UK,1192,20%,46%,7%,5%,8%,9%,6% Plaid Cymru on 2% Other on 4%,26,22 Feb 2023,2023-02-22
21–22 Feb,YouGov,The Times,GB,2003,23%,46%,9%,4%,7%,8%,3% Plaid Cymru on 1% Other on 2%,23,21–22 Feb 2023,2023-02-22
17–20 Feb,Deltapoll,,GB,1079,28%,50%,9%,4%,3%,2%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,22,17–20 Feb 2023,2023-02-20
16–20 Feb,Kantar Public,,GB,1120,28%,45%,9%,5%,7%,5%,1% UKIP on 1%,17,16–20 Feb 2023,2023-02-20
17–19 Feb,Savanta,,UK,2103,31%,45%,9%,3%,3%,4%,4% Plaid Cymru on 1% Other on 3%,14,17–19 Feb 2023,2023-02-19
18 Feb,Redfield & Wilton,,GB,2000,24%,51%,10%,3%,5%,6%,1%,27,18 Feb 2023,2023-02-18
15–17 Feb,Opinium,The Observer,GB,1451,28%,44%,9%,4%,6%,7%,2%,16,15–17 Feb 2023,2023-02-17
15–16 Feb,Omnisis,,GB,1259,25%,48%,10%,3%,5%,7%,1% Plaid Cymru on 0% Other on 1%,23,15–16 Feb 2023,2023-02-16
15–16 Feb,Techne,,UK,1631,27%,48%,8%,3%,5%,6%,3%,21,15–16 Feb 2023,2023-02-16
10–16 Feb,Survation,,UK,6094,29%,48%,8%,3%,3%,4%,6% UKIP on 1% Plaid Cymru on 1% Reclaim Party on 0% Alba Party on 0% Other on 3%,19,10–16 Feb 2023,2023-02-16
15 Feb,PeoplePolling,GB News,UK,1148,21%,48%,8%,5%,8%,7%,4% Plaid Cymru on 1% Other on 3%,27,15 Feb 2023,2023-02-15
14–15 Feb,YouGov,The Times,GB,2062,22%,50%,9%,4%,6%,7%,2% Plaid Cymru on 1% Other on 1%,28,14–15 Feb 2023,2023-02-15
10–13 Feb,Deltapoll,,GB,1004,28%,48%,8%,5%,6%,3%,2% UKIP on 1% Other on 1%,20,10–13 Feb 2023,2023-02-13
12 Feb,Redfield & Wilton,,GB,2000,27%,48%,9%,4%,5%,6%,1%,21,12 Feb 2023,2023-02-12
10–12 Feb,Focaldata,,GB,1041,28%,48%,9%,3%,4%,6%,2%,20,10–12 Feb 2023,2023-02-12
10–12 Feb,Savanta,,UK,2175,28%,45%,10%,3%,4%,5%,4% Plaid Cymru on 0% Other on 4%,17,10–12 Feb 2023,2023-02-12
9–10 Feb,Omnisis,,GB,1281,26%,47%,10%,4%,4%,8%,1% Plaid Cymru on 0% Other on 1%,21,9–10 Feb 2023,2023-02-10
9 Feb,West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],West Lancashire by-election[13],9 Feb 2023,2023-02-09
8–9 Feb,PeoplePolling,GB News,UK,1229,21%,50%,7%,4%,6%,7%,4% Plaid Cymru on 1% Other on 3%,29,8–9 Feb 2023,2023-02-09
8–9 Feb,Techne,,UK,1627,26%,47%,9%,4%,5%,6%,3%,21,8–9 Feb 2023,2023-02-09
8–9 Feb,YouGov,The Times,GB,2061,24%,47%,10%,4%,6%,6%,3% Plaid Cymru on 1% Other on 2%,23,8–9 Feb 2023,2023-02-09
3–6 Feb,Deltapoll,,GB,1831,29%,47%,9%,4%,4%,5%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,18,3–6 Feb 2023,2023-02-06
1–6 Feb,Survation,,UK,1923,26%,42%,11%,4%,5%,6%,6% Plaid Cymru on 1% UKIP on 1% Reclaim Party on 0% Alba Party on 0% Other on 4%,16,1–6 Feb 2023,2023-02-06
5 Feb,Redfield & Wilton,,GB,2000,24%,50%,10%,3%,5%,6%,2% Plaid Cymru on 1% Other on 1%,26,5 Feb 2023,2023-02-05
3–5 Feb,Savanta,,UK,2247,27%,46%,9%,3%,4%,5%,4% Plaid Cymru on 0% Other on 4%,19,3–5 Feb 2023,2023-02-05
27 Jan – 5 Feb,FindOutNow/Electoral Calculus,The Daily Telegraph,GB,28191,23%,48%,11%,4%,5%,5%,—,25,27 Jan – 5 Feb 2023,2023-02-05
2–3 Feb,Omnisis,,GB,1324,24%,48%,9%,4%,5%,6%,3% Plaid Cymru on 0% Other on 1% Independent on 2%,24,2–3 Feb 2023,2023-02-03
1–2 Feb,Techne,,UK,1634,27%,48%,8%,4%,4%,7%,2%,21,1–2 Feb 2023,2023-02-02
1 Feb,PeoplePolling,GB News,UK,1139,22%,46%,9%,5%,7%,7%,4% Plaid Cymru on 2% Other on 2%,24,1 Feb 2023,2023-02-01
31 Jan – 1 Feb,YouGov,The Times,GB,2006,24%,48%,9%,4%,6%,6%,3% Plaid Cymru on 1% Other on 2%,24,31 Jan – 1 Feb 2023,2023-02-01
26–30 Jan,Deltapoll,,GB,1057,29%,46%,9%,4%,4%,4%,3% UKIP on 1% Plaid Cymru on 1% Other on 1%,17,26–30 Jan 2023,2023-01-30
29 Jan,Redfield & Wilton,,GB,2000,28%,49%,8%,4%,5%,5%,1%,21,29 Jan 2023,2023-01-29
29 Jan,Savanta,,UK,2041,26%,47%,9%,3%,4%,6%,5% Plaid Cymru on 0% Other on 5%,21,29 Jan 2023,2023-01-29
26–27 Jan,Omnisis Archived 1 February 2023 at the Wayback Machine,,GB,1311,26%,50%,7%,3%,6%,7%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,24,26–27 Jan 2023,2023-01-27
25–26 Jan,Techne,,UK,1631,26%,47%,8%,4%,5%,7%,3%,21,25–26 Jan 2023,2023-01-26
24–26 Jan,BMG,,GB,1502,29%,46%,9%,4%,3%,6%,3% Plaid Cymru on 1% Other on 2%,17,24–26 Jan 2023,2023-01-26
24–25 Jan,YouGov,The Times,GB,2058,26%,45%,10%,4%,7%,6%,3% Plaid Cymru on 1% Other on 2%,19,24–25 Jan 2023,2023-01-25
18–25 Jan,Ipsos,,UK,1001,26%,51%,9%,6%,5%,2%,3% Plaid Cymru on 1% UKIP on 1% BNP on 1%,25,18–25 Jan 2023,2023-01-25
24 Jan,PeoplePolling,GB News,UK,1270,21%,50%,8%,6%,5%,7%,4% Plaid Cymru on 1% Other on 3%,29,24 Jan 2023,2023-01-24
22 Jan,Redfield & Wilton,,GB,2000,26%,48%,9%,5%,4%,6%,1%,22,22 Jan 2023,2023-01-22
19–21 Jan,Deltapoll,,GB,1563,30%,44%,9%,4%,5%,4%,5% UKIP on 3% Plaid Cymru on 1% Other on 1%,14,19–21 Jan 2023,2023-01-21
19–20 Jan,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1268,24%,50%,8%,4%,5%,5%,3% Plaid Cymru on 0% Other on 3%,26,19–20 Jan 2023,2023-01-20
18–19 Jan,Techne,,UK,1625,27%,46%,9%,4%,5%,6%,3%,19,18–19 Jan 2023,2023-01-19
18–19 Jan,YouGov,The Times,GB,2004,26%,48%,8%,4%,5%,7%,2% Plaid Cymru on 1% Other on 1%,22,18–19 Jan 2023,2023-01-19
18 Jan,PeoplePolling,GB News,UK,1168,21%,45%,9%,5%,9%,8%,4% Plaid Cymru on 1% Other on 3%,24,18 Jan 2023,2023-01-18
17–18 Jan,Focaldata,Sam Freedman,GB,1028,24%,49%,9%,3%,4%,7%,4%,25,17–18 Jan 2023,2023-01-18
12–16 Jan,Deltapoll,,GB,1059,29%,45%,10%,5%,5%,4%,3% UKIP on 3%,16,12–16 Jan 2023,2023-01-16
15 Jan,Redfield & Wilton,,GB,2000,27%,47%,10%,4%,5%,6%,1%,20,15 Jan 2023,2023-01-15
11–13 Jan,Opinium,The Observer,GB,2000,29%,45%,9%,3%,5%,6%,3% Plaid Cymru on 1% Other on 2%,16,11–13 Jan 2023,2023-01-13
11–12 Jan,Techne,,UK,1636,26%,47%,8%,4%,5%,7%,3%,21,11–12 Jan 2023,2023-01-12
11–12 Jan,Omnisis Archived 14 January 2023 at the Wayback Machine,,GB,1247,28%,48%,7%,4%,7%,3%,1% Plaid Cymru on 0% Other on 1%,20,11–12 Jan 2023,2023-01-12
11 Jan,PeoplePolling,GB News,UK,1160,21%,48%,8%,5%,7%,7%,4% Plaid Cymru on 1% Other on 3%,27,11 Jan 2023,2023-01-11
10–11 Jan,YouGov,The Times,GB,1691,25%,47%,9%,5%,5%,7%,2% Plaid Cymru on 1% Other on 1%,22,10–11 Jan 2023,2023-01-11
20 Dec – 11 Jan,YouGov,The Times,GB,4922,24%,47%,9%,5%,5%,7%,3% Plaid Cymru on 1% Other on 2%,23,20 Dec – 11 Jan 2023,2023-01-11
8 Jan,Redfield & Wilton,,GB,2000,26%,48%,9%,4%,5%,6%,2%,22,8 Jan 2023,2023-01-08
5–7 Jan,Deltapoll,,GB,1593,31%,45%,9%,3%,5%,3%,3% UKIP on 2% Other on 1%,14,5–7 Jan 2023,2023-01-07
5–6 Jan,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1285,27%,49%,10%,4%,4%,4%,1% Plaid Cymru on 0% Other on 1%,22,5–6 Jan 2023,2023-01-06
4–5 Jan,YouGov,The Times,GB,1709,25%,46%,9%,5%,6%,7%,3% Plaid Cymru on 1% Other on 2%,21,4–5 Jan 2023,2023-01-05
4–5 Jan,Techne,,UK,1625,25%,46%,9%,4%,5%,8%,3%,21,4–5 Jan 2023,2023-01-05
4 Jan,PeoplePolling,GB News,GB,1209,22%,46%,7%,5%,7%,8%,7% Plaid Cymru on 1% Other on 6%,24,4 Jan 2023,2023-01-04
2–3 Jan,Redfield & Wilton,,GB,2000,27%,47%,12%,4%,3%,5%,1%,20,2–3 Jan 2023,2023-01-03
Dates conducted,Pollster,Client,Area,Sample size,,,,,,,Others,Lead,Dates conducted 2022,
28 Dec,PeoplePolling,GB News,GB,1169,19%,45%,8%,6%,9%,8%,4% Plaid Cymru on 1% Other on 3%,26,28 Dec 2022,2022-12-28
21–22 Dec,Omnisis Archived 23 December 2022 at the Wayback Machine,,GB,1243,25%,51%,7%,4%,5%,6%,2% Plaid Cymru on 0% Other on 2%,26,21–22 Dec 2022,2022-12-22
21–22 Dec,Techne,,UK,1633,28%,45%,8%,4%,5%,7%,3%,17,21–22 Dec 2022,2022-12-22
21 Dec,PeoplePolling,GB News,GB,1151,22%,46%,8%,5%,6%,8%,3%,24,21 Dec 2022,2022-12-21
20–21 Dec,YouGov,The Times,GB,1672,24%,48%,9%,4%,5%,8%,3% Plaid Cymru on 1% Other on 2%,24,20–21 Dec 2022,2022-12-21
16–18 Dec,Savanta,,UK,2024,28%,45%,9%,5%,3%,5%,5%,17,16–18 Dec 2022,2022-12-18
15–16 Dec,Omnisis,,GB,1216,26%,47%,9%,5%,6%,6%,1%,21,15–16 Dec 2022,2022-12-16
14–16 Dec,Opinium,The Observer,GB,2000,29%,44%,9%,3%,5%,8%,3% Plaid Cymru on 1% Other on 2%,15,14–16 Dec 2022,2022-12-16
15 Dec,Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],Stretford and Urmston by-election[14],15 Dec 2022,2022-12-15
14–15 Dec,YouGov,The Times,GB,1690,23%,48%,8%,5%,5%,9%,2% Plaid Cymru on 1% Other on 1%,25,14–15 Dec 2022,2022-12-15
14–15 Dec,Techne,,UK,1631,28%,46%,9%,3%,5%,6%,3%,18,14–15 Dec 2022,2022-12-15
14 Dec,PeoplePolling,GB News,GB,1151,24%,45%,7%,5%,6%,7%,4%,21,14 Dec 2022,2022-12-14
7–13 Dec,Ipsos,,GB,1007,23%,49%,13%,5%,3%,2%,4%,26,7–13 Dec 2022,2022-12-13
9–12 Dec,Kantar Public,,GB,1097,29%,46%,9%,5%,5%,4%,3% UKIP on 2% Other on 1%,17,9–12 Dec 2022,2022-12-12
9–12 Dec,Deltapoll,,GB,1088,32%,45%,9%,5%,5%,4%,4% UKIP on 2% Plaid Cymru on 1% Other on 1%,13,9–12 Dec 2022,2022-12-12
11 Dec,Redfield & Wilton,,GB,2000,29%,46%,9%,3%,5%,7%,2% Plaid Cymru on 1% Other on 1%,17,11 Dec 2022,2022-12-11
9–11 Dec,Savanta,,UK,2194,29%,45%,8%,3%,3%,6%,5%,16,9–11 Dec 2022,2022-12-11
8–9 Dec,Omnisis,,GB,1294,30%,48%,9%,2%,6%,4%,1% Independent on 0% Other on 1%,18,8–9 Dec 2022,2022-12-09
7 Dec,PeoplePolling,GB News,GB,1231,20%,47%,8%,5%,6%,9%,5%,27,7 Dec 2022,2022-12-07
7–8 Dec,Techne,,UK,1625,27%,48%,9%,4%,4%,5%,3%,21,7–8 Dec 2022,2022-12-08
6–7 Dec,YouGov,The Times,GB,1696,24%,48%,9%,4%,5%,8%,2% Plaid Cymru on 1% Other on 2%,24,6–7 Dec 2022,2022-12-07
1–5 Dec,Deltapoll,,GB,1632,28%,48%,10%,4%,4%,4%,2% Plaid Cymru on 1% UKIP on 1% Other on 0%,20,1–5 Dec 2022,2022-12-05
2–5 Dec,Savanta,,UK,6237,28%,48%,11%,—,3%,4%,—,20,2–5 Dec 2022,2022-12-05
4 Dec,Redfield & Wilton,,GB,2000,26%,48%,10%,3%,6%,5%,1%,22,4 Dec 2022,2022-12-04
2–4 Dec,Savanta,,UK,2211,31%,42%,10%,4%,3%,5%,5% Plaid Cymru on 1% Other on 4%,11,2–4 Dec 2022,2022-12-04
1–2 Dec,Omnisis,,GB,1189,25%,48%,9%,4%,6%,5%,4% Independent on 1% Other on 3%,23,1–2 Dec 2022,2022-12-02
30 Nov – 2 Dec,Opinium,The Observer,GB,2000,29%,43%,8%,4%,6%,6%,3% Plaid Cymru on 1% Other on 2%,14,30 Nov – 2 Dec 2022,2022-12-02
1 Dec,City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],City of Chester by-election[15],1 Dec 2022,2022-12-01
1 Dec,Techne,,UK,1632,26%,49%,10%,4%,4%,5%,2%,23,1 Dec 2022,2022-12-01
29 Nov – 1 Dec,BMG,The i,GB,1571,28%,46%,10%,4%,5%,6%,2% Plaid Cymru on 0% Other on 2%,18,29 Nov – 1 Dec 2022,2022-12-01
30 Nov,PeoplePolling,GB News,GB,1145,21%,46%,7%,5%,9%,7%,4% Plaid Cymru on 1% Other on 3%,25,30 Nov 2022,2022-11-30
29–30 Nov,YouGov,The Times,GB,1637,22%,47%,9%,4%,5%,9%,3% Plaid Cymru on 1% Other on 2%,25,29–30 Nov 2022,2022-11-30
24–28 Nov,Deltapoll,,GB,1062,30%,48%,10%,3%,3%,4%,2% UKIP on 1% Other on 1%,18,24–28 Nov 2022,2022-11-28
27 Nov,Redfield & Wilton,,GB,2000,27%,47%,11%,3%,5%,5%,1%,20,27 Nov 2022,2022-11-27
25–27 Nov,Savanta ComRes,,UK,2106,26%,47%,10%,4%,2%,5%,5% Plaid Cymru on 1% Other on 4%,21,25–27 Nov 2022,2022-11-27
23–24 Nov,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1174,25%,49%,9%,3%,5%,6%,3% Plaid Cymru on 1% Other on 2%,24,23–24 Nov 2022,2022-11-24
23–24 Nov,Techne,,UK,1625,27%,50%,9%,4%,4%,—,6%,23,23–24 Nov 2022,2022-11-24
23 Nov,PeoplePolling,,GB,1145,24%,44%,8%,5%,8%,5%,6% Plaid Cymru on 1% Other on 5%,20,23 Nov 2022,2022-11-23
22–23 Nov,YouGov,The Times,GB,1672,25%,48%,9%,4%,5%,5%,3% Plaid Cymru on 1% Other on 2%,23,22–23 Nov 2022,2022-11-23
17–21 Nov,Kantar Public,,GB,1111,30%,45%,8%,5%,4%,5%,4% UKIP on 2% Other on 2%,15,17–21 Nov 2022,2022-11-21
20 Nov,Redfield & Wilton,,GB,2000,28%,49%,9%,4%,4%,5%,2%,21,20 Nov 2022,2022-11-20
18–20 Nov,Savanta ComRes,Independent,UK,2106,28%,46%,10%,3%,3%,3%,6%,18,18–20 Nov 2022,2022-11-20
17–19 Nov,Deltapoll,The Mail on Sunday,GB,1604,25%,51%,9%,3%,4%,4%,4% Plaid Cymru on 0% UKIP on 2% Other on 2%,26,17–19 Nov 2022,2022-11-19
18 Nov,PeoplePolling,GB News,GB,1331,21%,47%,10%,5%,7%,6%,5% Plaid Cymru on 1% Other on 4%,26,18 Nov 2022,2022-11-18
17–18 Nov,Opinium,The Observer,GB,1484,28%,45%,9%,3%,4%,6%,3%,17,17–18 Nov 2022,2022-11-18
17–18 Nov,Omnisis Archived 19 November 2022 at the Wayback Machine,,GB,1159,21%,48%,10%,5%,7%,5%,5% Plaid Cymru on 1% Other on 4%,27,17–18 Nov 2022,2022-11-18
17 Nov,Techne,,UK,1628,28%,50%,8%,4%,4%,—,6%,22,17 Nov 2022,2022-11-17
