Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
20–22 Dec,Populus,2013,35%,37%,12%,9%,3%,4%,2%,20–22 Dec 2013,2013-12-22
19–20 Dec,YouGov/Sunday Times,1886,34%,40%,9%,11%,2%,4%,6%,19–20 Dec 2013,2013-12-20
18–19 Dec,Populus,2055,32%,40%,12%,8%,3%,5%,8%,18–19 Dec 2013,2013-12-19
18–19 Dec,YouGov/The Sun,1784,34%,39%,11%,12%,1%,3%,5%,18–19 Dec 2013,2013-12-19
17–18 Dec,YouGov/The Sun,1937,34%,38%,10%,11%,2%,5%,4%,17–18 Dec 2013,2013-12-18
16–17 Dec,YouGov/The Sun,1791,33%,41%,10%,11%,2%,3%,8%,16–17 Dec 2013,2013-12-17
15–16 Dec,YouGov/The Sun,1666,36%,38%,8%,11%,2%,5%,2%,15–16 Dec 2013,2013-12-16
13–15 Dec,ComRes/Independent[permanent dead link‍],1003,32%,37%,9%,10%,5%,7%,5%,13–15 Dec 2013,2013-12-15
13–15 Dec,Populus,2058,33%,40%,13%,8%,2%,4%,7%,13–15 Dec 2013,2013-12-15
12–13 Dec,YouGov/Sunday Times,1846,32%,38%,9%,13%,2%,6%,6%,12–13 Dec 2013,2013-12-13
11–13 Dec,ComRes/Sunday Mirror/Independent[permanent dead link‍],2027,29%,36%,8%,18%,4%,5%,7%,11–13 Dec 2013,2013-12-13
10–13 Dec,Opinium/The Observer,1949,30%,37%,8%,16%,4%,5%,7%,10–13 Dec 2013,2013-12-13
11–12 Dec,Populus Archived 13 December 2013 at the Wayback Machine,2024,33%,38%,13%,9%,3%,4%,5%,11–12 Dec 2013,2013-12-12
11–12 Dec,YouGov/The Sun,1902,35%,39%,9%,11%,2%,4%,4%,11–12 Dec 2013,2013-12-12
10–11 Dec,YouGov/The Sun,1916,33%,39%,9%,13%,2%,4%,6%,10–11 Dec 2013,2013-12-11
9–10 Dec,YouGov/The Sun,1852,34%,39%,9%,12%,2%,4%,5%,9–10 Dec 2013,2013-12-10
8–9 Dec,YouGov/The Sun,1766,33%,38%,10%,13%,2%,4%,5%,8–9 Dec 2013,2013-12-09
7–9 Dec,Ipsos MORI/Evening Standard,1011,33%,37%,9%,10%,5%,6%,4%,7–9 Dec 2013,2013-12-09
6–8 Dec,ICM/The Guardian[permanent dead link‍],1001,32%,37%,12%,9%,3%,6%,5%,6–8 Dec 2013,2013-12-08
6–8 Dec,Populus Archived 13 December 2013 at the Wayback Machine,2027,33%,41%,11%,7%,3%,5%,8%,6–8 Dec 2013,2013-12-08
5–6 Dec,YouGov/Sunday Times,1802,34%,39%,10%,11%,3%,3%,5%,5–6 Dec 2013,2013-12-06
4–5 Dec,Populus Archived 3 December 2013 at the Wayback Machine,2038,34%,38%,13%,7%,3%,5%,4%,4–5 Dec 2013,2013-12-05
4–5 Dec,YouGov/The Sun,1833,29%,41%,9%,14%,2%,5%,12%,4–5 Dec 2013,2013-12-05
3–4 Dec,YouGov/The Sun,1943,34%,40%,10%,10%,3%,4%,6%,3–4 Dec 2013,2013-12-04
2–3 Dec,YouGov/The Sun,1935,32%,40%,9%,12%,3%,4%,8%,2–3 Dec 2013,2013-12-03
1–2 Dec,YouGov/The Sun,1699,32%,38%,10%,12%,2%,6%,6%,1–2 Dec 2013,2013-12-02
29 Nov–1 Dec,Populus,2012,33%,40%,10%,9%,3%,5%,8%,29 Nov–1 Dec 2013,2013-12-01
28–29 Nov,YouGov/Sunday Times,1796,30%,38%,10%,15%,2%,5%,8%,28–29 Nov 2013,2013-11-29
26–29 Nov,Opinium/The Observer,1941,28%,35%,8%,19%,4%,6%,7%,26–29 Nov 2013,2013-11-29
27–28 Nov,Populus Archived 3 December 2013 at the Wayback Machine,2025,35%,38%,12%,7%,3%,5%,3%,27–28 Nov 2013,2013-11-28
27–28 Nov,YouGov/The Sun,1817,33%,39%,8%,14%,2%,4%,6%,27–28 Nov 2013,2013-11-28
26–27 Nov,YouGov/The Sun,1888,32%,39%,10%,13%,2%,4%,7%,26–27 Nov 2013,2013-11-27
25–26 Nov,YouGov/The Sun,1919,32%,39%,10%,12%,3%,4%,7%,25–26 Nov 2013,2013-11-26
24–25 Nov,YouGov/The Sun,1681,32%,40%,10%,12%,2%,4%,8%,24–25 Nov 2013,2013-11-25
22–24 Nov,ComRes/Independent[permanent dead link‍],1002,32%,37%,9%,11%,3%,8%,5%,22–24 Nov 2013,2013-11-24
22–24 Nov,Populus,2075,34%,39%,12%,7%,2%,6%,5%,22–24 Nov 2013,2013-11-24
21–22 Nov,Survation/Daily Star,1006,29%,36%,10%,18%,3%,4%,7%,21–22 Nov 2013,2013-11-22
21–22 Nov,YouGov/Sunday Times,1867,33%,40%,9%,11%,2%,5%,7%,21–22 Nov 2013,2013-11-22
20–21 Nov,Populus,2028,33%,38%,11%,11%,2%,5%,5%,20–21 Nov 2013,2013-11-21
20–21 Nov,YouGov/The Sun,1909,32%,39%,10%,12%,2%,5%,7%,20–21 Nov 2013,2013-11-21
19–20 Nov,YouGov/The Sun,1865,32%,40%,9%,12%,3%,4%,8%,19–20 Nov 2013,2013-11-20
18–19 Nov,YouGov/The Sun,2108,34%,38%,10%,11%,2%,5%,4%,18–19 Nov 2013,2013-11-19
17–18 Nov,YouGov/The Sun,1650,32%,39%,11%,12%,2%,4%,7%,17–18 Nov 2013,2013-11-18
15–17 Nov,Populus,2010,32%,41%,10%,9%,2%,6%,9%,15–17 Nov 2013,2013-11-17
14–15 Nov,YouGov/Sunday Times,1851,33%,39%,10%,12%,2%,4%,6%,14–15 Nov 2013,2013-11-15
13–15 Nov,ComRes/Sunday Mirror/Independent[permanent dead link‍],2023,29%,35%,10%,17%,5%,4%,6%,13–15 Nov 2013,2013-11-15
13–14 Nov,Populus,2051,31%,40%,11%,10%,3%,5%,9%,13–14 Nov 2013,2013-11-14
13–14 Nov,YouGov/The Sun,1765,32%,40%,10%,13%,2%,3%,8%,13–14 Nov 2013,2013-11-14
12–14 Nov,Opinium/The Observer,1946,28%,37%,9%,16%,4%,6%,9%,12–14 Nov 2013,2013-11-14
12–13 Nov,YouGov/The Sun,1998,31%,39%,9%,13%,2%,6%,8%,12–13 Nov 2013,2013-11-13
11–12 Nov,YouGov/The Sun,2032,32%,42%,8%,10%,3%,5%,10%,11–12 Nov 2013,2013-11-12
10–11 Nov,YouGov/The Sun,1752,33%,40%,9%,11%,3%,4%,7%,10–11 Nov 2013,2013-11-11
9–11 Nov,Ipsos MORI/Evening Standard,1019,32%,38%,8%,8%,7%,8%,6%,9–11 Nov 2013,2013-11-11
7–11 Nov,TNS BMRB Archived 13 July 2014 at the Wayback Machine,1210,30%,38%,8%,12%,4%,7%,8%,7–11 Nov 2013,2013-11-11
8–10 Nov,ICM/The Guardian,1004,30%,38%,13%,10%,3%,7%,8%,8–10 Nov 2013,2013-11-10
8–10 Nov,Populus,2053,31%,39%,11%,10%,3%,6%,8%,8–10 Nov 2013,2013-11-10
4–10 Nov,Lord Ashcroft,8053,30%,39%,8%,16%,3%,5%,9%,4–10 Nov 2013,2013-11-10
7–8 Nov,YouGov/Sunday Times,1878,34%,39%,10%,11%,2%,4%,5%,7–8 Nov 2013,2013-11-08
6–7 Nov,Populus,2019,32%,39%,12%,9%,3%,5%,7%,6–7 Nov 2013,2013-11-07
6–7 Nov,YouGov/The Sun,1806,33%,39%,10%,11%,2%,5%,6%,6–7 Nov 2013,2013-11-07
5–6 Nov,YouGov/The Sun,1825,33%,40%,9%,12%,3%,4%,7%,5–6 Nov 2013,2013-11-06
4–5 Nov,YouGov/The Sun,1876,34%,40%,8%,11%,2%,6%,6%,4–5 Nov 2013,2013-11-05
3–4 Nov,YouGov/The Sun,1747,33%,40%,9%,12%,2%,4%,7%,3–4 Nov 2013,2013-11-04
1–3 Nov,Populus,2014,34%,39%,10%,10%,3%,4%,5%,1–3 Nov 2013,2013-11-03
25 Sep–3 Nov,Populus,14701,34%,39%,12%,9%,3%,3%,5%,25 Sep–3 Nov 2013,2013-11-03
31 Oct–1 Nov,YouGov/Sunday Times,1885,32%,41%,8%,12%,2%,5%,9%,31 Oct–1 Nov 2013,2013-11-01
29 Oct–1 Nov,Opinium/The Observer,1957,31%,37%,7%,16%,3%,6%,6%,29 Oct–1 Nov 2013,2013-11-01
30–31 Oct,Populus,2015,33%,40%,11%,9%,2%,5%,7%,30–31 Oct 2013,2013-10-31
30–31 Oct,YouGov/The Sun,1671,35%,39%,9%,10%,2%,5%,4%,30–31 Oct 2013,2013-10-31
29–30 Oct,YouGov/The Sun,1862,33%,40%,8%,11%,2%,6%,7%,29–30 Oct 2013,2013-10-30
28–29 Oct,YouGov/The Sun,1956,33%,39%,10%,11%,2%,5%,6%,28–29 Oct 2013,2013-10-29
27–28 Oct,YouGov/The Sun,1736,31%,40%,9%,12%,3%,5%,9%,27–28 Oct 2013,2013-10-28
25–27 Oct,ComRes/Independent,1003,28%,36%,11%,12%,5%,8%,8%,25–27 Oct 2013,2013-10-27
25–27 Oct,Populus,2065,33%,38%,12%,9%,3%,5%,5%,25–27 Oct 2013,2013-10-27
25 Oct,Survation/Mail on Sunday,1000,29%,35%,12%,17%,2%,5%,6%,25 Oct 2013,2013-10-25
24–25 Oct,YouGov/Sunday Times,1913,33%,39%,9%,12%,3%,5%,6%,24–25 Oct 2013,2013-10-25
23–24 Oct,Populus,2011,34%,39%,11%,10%,3%,3%,5%,23–24 Oct 2013,2013-10-24
23–24 Oct,YouGov/The Sun,1677,32%,38%,10%,13%,3%,5%,6%,23–24 Oct 2013,2013-10-24
22–23 Oct,YouGov/The Sun,1895,32%,39%,9%,11%,3%,5%,7%,22–23 Oct 2013,2013-10-23
21–22 Oct,YouGov/The Sun,2089,32%,40%,10%,13%,2%,3%,8%,21–22 Oct 2013,2013-10-22
20–21 Oct,YouGov/The Sun,1735,33%,38%,9%,13%,2%,4%,5%,20–21 Oct 2013,2013-10-21
18–21 Oct,Survation/Free Speech Network,1004,29%,37%,10%,16%,3%,4%,8%,18–21 Oct 2013,2013-10-21
18–19 Oct,Populus,2018,34%,37%,14%,8%,3%,4%,3%,18–19 Oct 2013,2013-10-19
17–18 Oct,YouGov/Sunday Times,2311,33%,39%,10%,11%,2%,5%,6%,17–18 Oct 2013,2013-10-18
16–18 Oct,ComRes/Sunday Mirror/Independent,2001,32%,35%,9%,16%,3%,5%,3%,16–18 Oct 2013,2013-10-18
15–18 Oct,Opinium/The Observer,1936,27%,38%,9%,17%,4%,4%,11%,15–18 Oct 2013,2013-10-18
16–17 Oct,Populus,2043,33%,39%,12%,9%,2%,5%,6%,16–17 Oct 2013,2013-10-17
16–17 Oct,YouGov/The Sun,1885,34%,40%,9%,11%,2%,4%,6%,16–17 Oct 2013,2013-10-17
15–16 Oct,YouGov/The Sun,1914,35%,39%,8%,12%,2%,3%,4%,15–16 Oct 2013,2013-10-16
14–15 Oct,YouGov/The Sun,1805,34%,39%,9%,11%,2%,5%,5%,14–15 Oct 2013,2013-10-15
12–15 Oct,Ipsos MORI/Evening Standard,1004,35%,35%,9%,10%,4%,7%,Tie,12–15 Oct 2013,2013-10-15
13–14 Oct,YouGov/The Sun,1857,37%,38%,10%,10%,2%,3%,1%,13–14 Oct 2013,2013-10-14
10–14 Oct,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1207,34%,36%,9%,13%,3%,5%,2%,10–14 Oct 2013,2013-10-14
11–13 Oct,Populus,2042,34%,39%,12%,8%,3%,4%,5%,11–13 Oct 2013,2013-10-13
11–13 Oct,ICM/The Guardian[15],1004,34%,38%,12%,8%,3%,5%,4%,11–13 Oct 2013,2013-10-13
11 Oct,Survation/Mail on Sunday,1017,27%,37%,11%,18%,2%,5%,10%,11 Oct 2013,2013-10-11
10–11 Oct,YouGov/Sunday Times,1773,34%,39%,9%,11%,3%,5%,5%,10–11 Oct 2013,2013-10-11
9–10 Oct,Populus,2013,34%,39%,12%,8%,3%,4%,5%,9–10 Oct 2013,2013-10-10
9–10 Oct,YouGov/The Sun,1859,33%,40%,10%,11%,2%,4%,7%,9–10 Oct 2013,2013-10-10
8–9 Oct,YouGov/The Sun,1907,32%,38%,11%,13%,3%,3%,6%,8–9 Oct 2013,2013-10-09
7–8 Oct,YouGov/The Sun,1879,33%,39%,10%,10%,3%,5%,6%,7–8 Oct 2013,2013-10-08
6–7 Oct,YouGov/The Sun,1655,35%,39%,9%,10%,3%,3%,4%,6–7 Oct 2013,2013-10-07
4–6 Oct,Populus,2050,33%,40%,10%,10%,3%,4%,7%,4–6 Oct 2013,2013-10-06
3–4 Oct,YouGov/Sunday Times,1985,33%,38%,11%,13%,2%,3%,5%,3–4 Oct 2013,2013-10-04
1–4 Oct,Opinium/The Observer,1948,31%,36%,7%,15%,4%,7%,5%,1–4 Oct 2013,2013-10-04
2–3 Oct,Populus,2014,33%,38%,11%,10%,3%,5%,5%,2–3 Oct 2013,2013-10-03
2–3 Oct,YouGov/The Sun,1883,35%,38%,9%,10%,2%,5%,3%,2–3 Oct 2013,2013-10-03
1–2 Oct,YouGov/The Sun,1765,34%,40%,9%,10%,3%,4%,6%,1–2 Oct 2013,2013-10-02
30 Sep–1 Oct,YouGov/The Sun,1914,31%,41%,8%,12%,2%,5%,10%,30 Sep–1 Oct 2013,2013-10-01
29–30 Sep,YouGov/The Sun,1717,33%,39%,11%,13%,2%,3%,6%,29–30 Sep 2013,2013-09-30
27–29 Sep,ComRes/Independent,1001,33%,37%,11%,11%,3%,5%,4%,27–29 Sep 2013,2013-09-29
27–29 Sep,Populus,2006,36%,39%,11%,7%,3%,4%,3%,27–29 Sep 2013,2013-09-29
26–27 Sep,YouGov/Sunday Times,1895,31%,42%,9%,13%,2%,4%,11%,26–27 Sep 2013,2013-09-27
25–26 Sep,Populus,2015,34%,37%,12%,9%,2%,6%,3%,25–26 Sep 2013,2013-09-26
25–26 Sep,YouGov/The Sun,1840,33%,40%,9%,11%,2%,5%,7%,25–26 Sep 2013,2013-09-26
24–25 Sep,YouGov/The Sun,1919,32%,41%,8%,11%,3%,4%,9%,24–25 Sep 2013,2013-09-25
23–24 Sep,YouGov/The Sun,1905,34%,39%,10%,10%,3%,4%,5%,23–24 Sep 2013,2013-09-24
22–23 Sep,YouGov/The Sun,1763,32%,40%,10%,12%,2%,3%,8%,22–23 Sep 2013,2013-09-23
14 Aug–22 Sep,Populus,14616,33%,38%,12%,9%,3%,5%,5%,14 Aug–22 Sep 2013,2013-09-22
20–22 Sep,Populus,2036,33%,39%,14%,9%,2%,3%,6%,20–22 Sep 2013,2013-09-22
19–20 Sep,YouGov/Sunday Times,1956,33%,37%,11%,11%,3%,5%,4%,19–20 Sep 2013,2013-09-20
17–20 Sep,Opinium/The Observer,1929,29%,36%,7%,17%,4%,7%,7%,17–20 Sep 2013,2013-09-20
18–19 Sep,Populus,2043,33%,39%,11%,9%,3%,5%,6%,18–19 Sep 2013,2013-09-19
18–19 Sep,ComRes/Sunday Mirror/Independent[permanent dead link‍],2003,28%,36%,10%,17%,4%,5%,8%,18–19 Sep 2013,2013-09-19
18–19 Sep,YouGov/The Sun,1878,34%,35%,11%,11%,3%,5%,1%,18–19 Sep 2013,2013-09-19
17–18 Sep,YouGov/The Sun,1853,36%,36%,10%,12%,2%,4%,Tie,17–18 Sep 2013,2013-09-18
16–17 Sep,YouGov/The Sun,1792,33%,37%,9%,13%,3%,4%,4%,16–17 Sep 2013,2013-09-17
15–16 Sep,YouGov/The Sun,1636,34%,37%,10%,12%,3%,5%,3%,15–16 Sep 2013,2013-09-16
12–16 Sep,TNS BMRB Archived 17 March 2016 at the Wayback Machine,1224,29%,39%,9%,14%,2%,7%,10%,12–16 Sep 2013,2013-09-16
13–15 Sep,ICM/The Guardian[permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][15],1000,32%,36%,14%,9%,4%,5%,4%,13–15 Sep 2013,2013-09-15
13–15 Sep,Populus,2053,33%,40%,11%,9%,2%,5%,7%,13–15 Sep 2013,2013-09-15
12–13 Sep,YouGov/Sunday Times,1903,33%,38%,9%,12%,3%,5%,5%,12–13 Sep 2013,2013-09-13
11–12 Sep,Populus,2018,34%,41%,10%,7%,3%,5%,7%,11–12 Sep 2013,2013-09-12
11–12 Sep,YouGov/The Sun,1819,34%,38%,8%,13%,3%,5%,4%,11–12 Sep 2013,2013-09-12
10–11 Sep,YouGov/The Sun,1719,32%,39%,10%,12%,2%,4%,7%,10–11 Sep 2013,2013-09-11
9–10 Sep,YouGov/The Sun,1579,33%,39%,9%,11%,3%,5%,6%,9–10 Sep 2013,2013-09-10
8–9 Sep,YouGov/The Sun,1615,33%,38%,8%,14%,3%,4%,5%,8–9 Sep 2013,2013-09-09
7–9 Sep,Ipsos MORI/Evening Standard,1000,34%,37%,10%,11%,3%,5%,3%,7–9 Sep 2013,2013-09-09
6–8 Sep,Populus,2025,34%,37%,13%,9%,2%,5%,3%,6–8 Sep 2013,2013-09-08
5–6 Sep,YouGov/Sunday Times,1916,34%,38%,9%,12%,3%,4%,4%,5–6 Sep 2013,2013-09-06
3–6 Sep,Opinium/The Observer,1942,30%,35%,7%,17%,4%,7%,5%,3–6 Sep 2013,2013-09-06
4–5 Sep,Populus,2036,33%,37%,14%,8%,3%,4%,4%,4–5 Sep 2013,2013-09-05
4–5 Sep,YouGov/The Sun,1891,31%,38%,10%,13%,2%,6%,7%,4–5 Sep 2013,2013-09-05
3–4 Sep,YouGov/The Sun,1930,33%,39%,10%,12%,2%,5%,6%,3–4 Sep 2013,2013-09-04
2–3 Sep,YouGov/The Sun,1978,33%,37%,9%,13%,3%,5%,4%,2–3 Sep 2013,2013-09-03
1–2 Sep,YouGov/The Sun,1717,33%,40%,9%,12%,2%,5%,7%,1–2 Sep 2013,2013-09-02
29 Aug–2 Sep,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1230,28%,39%,11%,13%,3%,7%,11%,29 Aug–2 Sep 2013,2013-09-02
30 Aug–1 Sep,Lord Ashcroft,1005,30%,35%,11%,14%,4%,6%,5%,30 Aug–1 Sep 2013,2013-09-01
30 Aug–1 Sep,ComRes/Independent[permanent dead link‍],2000,31%,37%,12%,10%,4%,6%,6%,30 Aug–1 Sep 2013,2013-09-01
30 Aug–1 Sep,Populus,2020,34%,38%,12%,8%,3%,4%,4%,30 Aug–1 Sep 2013,2013-09-01
30–31 Aug,YouGov/Sunday Times,1822,31%,41%,9%,13%,2%,4%,10%,30–31 Aug 2013,2013-08-31
30 Aug,Survation/Mail on Sunday,1002,29%,37%,11%,17%,2%,5%,8%,30 Aug 2013,2013-08-30
28–29 Aug,Populus,2041,33%,39%,12%,9%,2%,5%,6%,28–29 Aug 2013,2013-08-29
28–29 Aug,YouGov/The Sun,1954,33%,37%,10%,12%,3%,5%,4%,28–29 Aug 2013,2013-08-29
27–28 Aug,YouGov/The Sun,1886,34%,37%,11%,12%,2%,5%,3%,27–28 Aug 2013,2013-08-28
26–27 Aug,YouGov/The Sun,1991,34%,39%,8%,12%,2%,5%,5%,26–27 Aug 2013,2013-08-27
23–26 Aug,Populus,2044,33%,37%,13%,10%,2%,5%,4%,23–26 Aug 2013,2013-08-26
22–23 Aug,YouGov/Sunday Times,1949,32%,38%,10%,13%,3%,5%,6%,22–23 Aug 2013,2013-08-23
20–23 Aug,Opinium/The Observer,1947,29%,36%,8%,18%,4%,5%,7%,20–23 Aug 2013,2013-08-23
21–22 Aug,Populus,2050,30%,38%,12%,12%,3%,5%,8%,21–22 Aug 2013,2013-08-22
21–22 Aug,YouGov/The Sun,1871,32%,39%,11%,10%,2%,5%,7%,21–22 Aug 2013,2013-08-22
20–21 Aug,YouGov/The Sun,1858,34%,37%,9%,13%,3%,4%,3%,20–21 Aug 2013,2013-08-21
19–20 Aug,YouGov/The Sun,1940,32%,39%,10%,12%,3%,4%,7%,19–20 Aug 2013,2013-08-20
18–19 Aug,YouGov/The Sun,1729,31%,38%,10%,14%,3%,6%,7%,18–19 Aug 2013,2013-08-19
16–18 Aug,Populus,2034,32%,38%,12%,11%,3%,4%,6%,16–18 Aug 2013,2013-08-18
15–16 Aug,YouGov/Sunday Times,1866,32%,38%,10%,13%,3%,5%,6%,15–16 Aug 2013,2013-08-16
14–15 Aug,Populus,2050,36%,39%,10%,8%,2%,5%,3%,14–15 Aug 2013,2013-08-15
14–15 Aug,YouGov/The Sun,1865,34%,39%,9%,11%,2%,5%,5%,14–15 Aug 2013,2013-08-15
14–15 Aug,ComRes/Sunday Mirror/Independent,2001,28%,37%,8%,19%,3%,5%,9%,14–15 Aug 2013,2013-08-15
13–14 Aug,YouGov/The Sun,1914,32%,38%,11%,13%,2%,4%,6%,13–14 Aug 2013,2013-08-14
12–13 Aug,YouGov/The Sun,1960,35%,38%,10%,11%,2%,5%,3%,12–13 Aug 2013,2013-08-13
11–12 Aug,YouGov/The Sun,1660,33%,40%,8%,13%,2%,5%,7%,11–12 Aug 2013,2013-08-12
10–12 Aug,Ipsos MORI/Evening Standard,1007,30%,40%,10%,11%,6%,3%,10%,10–12 Aug 2013,2013-08-12
9–11 Aug,ICM/The Guardian[15],1001,32%,35%,14%,10%,3%,5%,3%,9–11 Aug 2013,2013-08-11
9–11 Aug,Populus,2014,33%,39%,12%,10%,2%,4%,6%,9–11 Aug 2013,2013-08-11
8–9 Aug,YouGov/Sunday Times,1834,33%,41%,9%,10%,3%,4%,8%,8–9 Aug 2013,2013-08-09
7–8 Aug,YouGov/The Sun,1735,34%,38%,9%,12%,2%,5%,4%,7–8 Aug 2013,2013-08-08
6–8 Aug,Opinium/The Observer,1945,29%,36%,9%,17%,3%,6%,7%,6–8 Aug 2013,2013-08-08
6–7 Aug,YouGov/The Sun,1884,31%,39%,11%,11%,4%,4%,8%,6–7 Aug 2013,2013-08-07
5–6 Aug,YouGov/The Sun,1979,32%,39%,10%,11%,2%,5%,7%,5–6 Aug 2013,2013-08-06
4–5 Aug,YouGov/The Sun,1684,34%,38%,11%,12%,2%,5%,4%,4–5 Aug 2013,2013-08-05
2–4 Aug,Populus,2006,33%,38%,12%,9%,3%,5%,5%,2–4 Aug 2013,2013-08-04
2 Aug,Survation/Mail on Sunday,1001,28%,36%,11%,18%,1%,6%,8%,2 Aug 2013,2013-08-02
1–2 Aug,YouGov/Sunday Times,1952,32%,38%,10%,13%,2%,5%,6%,1–2 Aug 2013,2013-08-02
31 Jul–1 Aug,Populus,2027,29%,40%,11%,12%,3%,5%,11%,31 Jul–1 Aug 2013,2013-08-01
31 Jul–1 Aug,YouGov/The Sun,1995,34%,40%,10%,11%,3%,2%,6%,31 Jul–1 Aug 2013,2013-08-01
30–31 Jul,YouGov/The Sun,1869,33%,38%,10%,14%,2%,3%,5%,30–31 Jul 2013,2013-07-31
29–30 Jul,YouGov/The Sun,1869,34%,40%,11%,10%,2%,4%,6%,29–30 Jul 2013,2013-07-30
28–29 Jul,YouGov/The Sun,1751,33%,40%,10%,12%,2%,3%,7%,28–29 Jul 2013,2013-07-29
26–28 Jul,Populus Archived 4 December 2014 at the Wayback Machine,2049,34%,39%,11%,8%,3%,5%,5%,26–28 Jul 2013,2013-07-28
25–27 Jul,ComRes/Independent[permanent dead link‍],1001,34%,37%,10%,12%,4%,4%,3%,25–27 Jul 2013,2013-07-27
25–26 Jul,YouGov/Sunday Times,1857,33%,39%,10%,11%,2%,5%,6%,25–26 Jul 2013,2013-07-26
23–26 Jul,Opinium/The Observer,1935,28%,39%,8%,16%,3%,6%,11%,23–26 Jul 2013,2013-07-26
24–25 Jul,Populus,2005,32%,39%,11%,10%,3%,5%,7%,24–25 Jul 2013,2013-07-25
24–25 Jul,YouGov/The Sun,1817,32%,38%,11%,11%,3%,5%,6%,24–25 Jul 2013,2013-07-25
23–24 Jul,YouGov/The Sun,1926,35%,39%,8%,11%,3%,4%,4%,23–24 Jul 2013,2013-07-24
22–23 Jul,YouGov/The Sun,1968,32%,39%,11%,12%,2%,4%,7%,22–23 Jul 2013,2013-07-23
21–22 Jul,YouGov/The Sun,1710,35%,38%,11%,10%,2%,4%,3%,21–22 Jul 2013,2013-07-22
18–22 Jul,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1232,28%,38%,9%,16%,2%,7%,10%,18–22 Jul 2013,2013-07-22
19–21 Jul,Populus Archived 4 December 2014 at the Wayback Machine,2049,32%,39%,12%,9%,2%,6%,7%,19–21 Jul 2013,2013-07-21
18–19 Jul,YouGov/Sunday Times,1877,32%,39%,10%,11%,2%,5%,7%,18–19 Jul 2013,2013-07-19
17–18 Jul,YouGov/The Sun,1866,33%,38%,11%,11%,2%,5%,5%,17–18 Jul 2013,2013-07-18
17–18 Jul,Populus Archived 4 December 2014 at the Wayback Machine,2004,31%,39%,12%,10%,3%,4%,8%,17–18 Jul 2013,2013-07-18
16–17 Jul,YouGov/The Sun,1874,31%,37%,12%,13%,3%,5%,6%,16–17 Jul 2013,2013-07-17
15–16 Jul,YouGov/The Sun,1965,32%,38%,10%,12%,2%,6%,6%,15–16 Jul 2013,2013-07-16
14–15 Jul,YouGov/The Sun,1701,31%,40%,11%,11%,2%,7%,9%,14–15 Jul 2013,2013-07-15
12–14 Jul,ICM/The Guardian[17],1003,36%,36%,13%,7%,3%,5%,Tie,12–14 Jul 2013,2013-07-14
12–14 Jul,Populus,2044,31%,38%,13%,10%,4%,4%,7%,12–14 Jul 2013,2013-07-14
11–12 Jul,YouGov/Sunday Times,1857,30%,41%,10%,13%,2%,4%,11%,11–12 Jul 2013,2013-07-12
11–12 Jul,Survation/Mail on Sunday,1006,28%,36%,9%,20%,4%,3%,8%,11–12 Jul 2013,2013-07-12
10–12 Jul,Opinium/The Observer,1951,27%,38%,6%,19%,4%,6%,11%,10–12 Jul 2013,2013-07-12
10–11 Jul,ComRes/Sunday Mirror/Independent[permanent dead link‍],2021,28%,36%,8%,18%,4%,6%,8%,10–11 Jul 2013,2013-07-11
9–10 Jul,YouGov/The Sun,1955,32%,37%,11%,12%,3%,4%,5%,9–10 Jul 2013,2013-07-10
8–9 Jul,YouGov/The Sun,1938,31%,39%,10%,13%,3%,4%,8%,8–9 Jul 2013,2013-07-09
7–8 Jul,YouGov/The Sun,1938,34%,40%,10%,10%,2%,4%,6%,7–8 Jul 2013,2013-07-08
4–5 Jul,YouGov/Sunday Times,1660,33%,39%,11%,12%,2%,4%,6%,4–5 Jul 2013,2013-07-05
3–4 Jul,YouGov/The Sun,1792,31%,39%,11%,12%,2%,5%,8%,3–4 Jul 2013,2013-07-04
3 Jul,Survation/Mirror,1085,23%,36%,10%,22%,4%,5%,13%,3 Jul 2013,2013-07-03
2–3 Jul,YouGov/The Sun,1923,32%,40%,9%,13%,2%,4%,8%,2–3 Jul 2013,2013-07-03
1–2 Jul,YouGov/The Sun,1967,32%,40%,9%,12%,3%,4%,8%,1–2 Jul 2013,2013-07-02
30 Jun–1 Jul,YouGov/The Sun,1620,33%,38%,8%,12%,2%,6%,5%,30 Jun–1 Jul 2013,2013-07-01
27–28 Jun,YouGov/The Sunday Times,1967,33%,38%,11%,11%,2%,5%,5%,27–28 Jun 2013,2013-06-28
25–28 Jun,Opinium/The Observer,1954,27%,37%,7%,19%,3%,7%,10%,25–28 Jun 2013,2013-06-28
26–27 Jun,YouGov/The Sun,1920,33%,39%,10%,13%,3%,2%,6%,26–27 Jun 2013,2013-06-27
25–26 Jun,YouGov/The Sun,1915,31%,42%,11%,10%,3%,4%,11%,25–26 Jun 2013,2013-06-26
24–25 Jun,YouGov/The Sun,1860,32%,40%,11%,11%,2%,4%,8%,24–25 Jun 2013,2013-06-25
23–24 Jun,YouGov/The Sun,1694,32%,39%,9%,12%,3%,4%,7%,23–24 Jun 2013,2013-06-24
